ag_section	bn_topics	ag_says	bn_says
463	bn-326-the-infinitive	463. The infinitive is often used for the imperfect indicative in narration, and takes a s	The Infinitive
465	bn-257-tenses-of-the-indicative	465. The present tense denotes an action or state (1) as now taking place or existing, and	Tenses of the Indicative
466	bn-257-tenses-of-the-indicative	466. The present with expressions of duration of time (especially iam diū, iam dūdum) deno	Tenses of the Indicative
467	bn-257-tenses-of-the-indicative	467. The present sometimes denotes an action attempted or begun in present time, but never	Tenses of the Indicative
469	bn-257-tenses-of-the-indicative	469. The present in lively narrative is often used for the Historical Perfect. Affertur nū	Tenses of the Indicative
470	bn-257-tenses-of-the-indicative	470. The imperfect denotes an action or a state as continued or repeated in past time. Hun	Tenses of the Indicative
473	bn-257-tenses-of-the-indicative	473. The perfect denotes an action either as now completed (Perfect Definite), or as havin	Tenses of the Indicative
476	bn-257-tenses-of-the-indicative	476. The completed tenses of some verbs are equivalent to the incomplete tenses of verbs o	Tenses of the Indicative
479	bn-257-tenses-of-the-indicative	479. In letters, the Historical Perfect or the imperfect may be used for the present tense	Tenses of the Indicative
485	bn-266-tenses-of-the-subjunctive	485. In the Sequence of Tenses the following special points are to be noted. a. The perfec	Tenses of the Subjunctive
486	bn-270-tenses-of-the-infinitive	486. Except in indirect discourse, only the present and perfect infinitives are used. The 	Tenses of the Infinitive
492	bn-336-participles	492. The Latin has no present participle in the passive. The place of such a form is suppl	Participles
495	bn-336-participles	495. Participles are often used as predicate adjectives. As such they may be joined to the	Participles
